ASIGN_VALDYTOJAS,TIEKEJAS,POZYMIS,PROGRAMA,FIN_SALTINIS,SAMATA,SASKAITOS_NR,SASKAITOS_DATA,VALIUTA,SASKAITOS_SUMA,APMOKETA,APMOKETA_IKI_EIN_METU,APMOKETA_I_KETV,APMOKETA_II_KETV,APMOKETA_III_KETV,APMOKETA_IV_KETV,PASTABA,SUT_NR_FVAS,SUT_NR_AVILYS,ITRAUK_SUMA,PAR_DATA,PAR_NR
188710061,"MACIEJEVSKI, ZBIGNIEV","Tarybos narys",16010101,01,1000002,AV2015/302,30-JUN-15,EUR,853.39,0,0,0,0,0,0,,-,-,,,
188710061,"MACIEJEVSKI, ZBIGNIEV","Tarybos narys",16010101,01,1000002,AV2016/82,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2015/340,03-SEP-15,EUR,35,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2015/341,03-SEP-15,EUR,76.76,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV2015/426,26-OCT-15,EUR,118.33,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2015/454,23-DEC-15,EUR,100,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV2015/473,30-DEC-15,EUR,639.8,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/141,03-MAY-16,EUR,24,0,0,0,0,0,0,,-,-,,,
188710061,"KUZMICKIENĖ, PAULĖ","Tarybos narys",16010101,01,1000002,AV2015/130,31-MAR-15,EUR,870,0,0,0,0,0,0,,-,-,,,
188710061,"SAKSON, GŽEGOŽ","Tarybos narys",16010101,01,1000002,AV2016/93,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"MONKEVIČIUS, MIROSLAVAS","Tarybos narys",16010101,01,1000002,AV2015/382,30-SEP-15,EUR,823.88,0,0,0,0,0,0,,-,-,,,
188710061,"SKUČAS, ŠARŪNAS","Tarybos narys",16010101,01,1000002,AV2015/500,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"KAŠĖTAITĖ, JUSTINA","Tarybos narys",16010101,01,1000002,AV2015/295,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"GNEUŠEV, DMITRIJ","Tarybos narys",16010101,01,1000002,AV2016/148,08-MAY-16,EUR,335,0,0,0,0,0,0,,-,-,,,
