INVOICE_ID,INVOICE_DATE,INVOICE_AMOUNT,AMOUNT_PAID,ATTRIBUTE_CATEGORY,INVOICE_NUM,RECEIVER
2175141,08-AUG-16,46.4,46.4,AVANSAS,"KKK 5351","VALDAS BENKUNSKAS"
2175146,31-AUG-16,281.16,281.16,AVANSAS,"GA 34934","GINTAUTAS PALUCKAS"
2175149,31-AUG-16,7.81,7.81,AVANSAS,2016-08-31,"GINTAUTAS PALUCKAS"
2175159,05-SEP-16,349.39,349.39,AVANSAS,1-90/48-09,"VALDAS BENKUNSKAS"
2175165,05-SEP-16,222.22,222.22,AVANSAS,1-90/49-09,"LINAS KVEDARAVIČIUS"
2175294,05-SEP-16,22,22,AVANSAS,K0101095,"REMIGIJUS ŠIMAŠIUS"
2175299,05-SEP-16,1.44,1.44,AVANSAS,2016-09-05,"REMIGIJUS ŠIMAŠIUS"
2189176,09-SEP-16,95.2,95.2,AVANSAS,"MERCI 00044","VALDAS BENKUNSKAS"
2189188,07-SEP-16,71,71,AVANSAS,"MERCI 00038","VALDAS BENKUNSKAS"
2189195,07-SEP-16,7.81,7.81,AVANSAS,2016-09-07,"VALDAS BENKUNSKAS"
2202686,28-SEP-16,361.36,361.36,AVANSAS,1-90/48-09.1,"VALDAS BENKUNSKAS"
2202688,22-SEP-16,36.6,36.6,AVANSAS,"MAX 600160005037","VALDAS BENKUNSKAS"
2202691,26-SEP-16,21.22,21.22,AVANSAS,43l-00000128,"VALDAS BENKUNSKAS"
2202697,27-SEP-16,171,171,AVANSAS,"OBT 0005400","GINTAUTAS PALUCKAS"
2202702,22-SEP-16,22,22,AVANSAS,K0101108,"REMIGIJUS ŠIMAŠIUS"
2202710,28-SEP-16,28.5,28.5,AVANSAS,"PRC 11246","REMIGIJUS ŠIMAŠIUS"
2204504,06-OCT-16,220.06,220.06,KITOS_MS,373,"ŠARŪNAS SKUČAS"
2209088,05-OCT-16,299.28,299.28,AVANSAS,1-90/4-10,"RITA BALČIŪNIENĖ"
2209094,05-OCT-16,229.66,229.66,AVANSAS,1-90/5-10,"ADOMAS BUŽINSKAS"
2209103,05-OCT-16,300,300,AVANSAS,1-90/6-10,"RENATA CYTACKA"
2209110,05-OCT-16,292.23,292.23,AVANSAS,1-90/7-10,"ALGIS ČAPLIKAS"
2209115,05-OCT-16,300,300,AVANSAS,1-90/12-10,"JUOZAS IMBRASAS"
2209121,05-OCT-16,300,300,AVANSAS,1-90/13-10,"VINCAS JURGUTIS"
2209144,05-OCT-16,291.27,291.27,AVANSAS,1-90/14-10,"JAROSLAV KAMINSKI"
2209147,05-OCT-16,186.71,186.71,AVANSAS,1-90/17-10,"AUKSĖ KONTRIMIENĖ"
2209154,05-OCT-16,300,300,AVANSAS,1-90/18-10,"VAIDAS KUKARĖNAS"
2209160,05-OCT-16,300,300,AVANSAS,1-90/20-10,"PAULĖ KUZMICKIENĖ"
2209164,05-OCT-16,300,300,AVANSAS,1-90/21-10,"ARTUR LIUDKOVSKI"
2209165,05-OCT-16,300,300,AVANSAS,1-90/22-10,"MYKOLAS MAJAUSKAS"
2209167,05-OCT-16,300,300,AVANSAS,1-90/23-10,"ZBIGNIEV MACIEJEVSKI"
2209174,05-OCT-16,164.26,164.26,AVANSAS,1-90/26-10,"VYTAUTAS MITALAS"
2209177,05-OCT-16,263.84,263.84,AVANSAS,1-90/28-10,"RAFAEL MUKSINOV"
2209180,05-OCT-16,201.99,201.99,AVANSAS,1-90/29-10,"KĘSTUTIS NĖNIUS"
2209186,05-OCT-16,268.19,268.19,AVANSAS,1-90/30-10,"JUOZAS OLEKAS"
2209190,05-OCT-16,300,300,AVANSAS,1-90/31-10,"VIOLETA PODOLSKAITĖ"
2209201,05-OCT-16,300,300,AVANSAS,1-90/33-10,"GEDIMINAS RUDŽIONIS"
2209212,05-OCT-16,300,300,AVANSAS,1-90/34-10,"GŽEGOŽ SAKSON"
2209216,05-OCT-16,300,300,AVANSAS,1-90/35-10,"ARVYDAS SEKMOKAS"
2209233,05-OCT-16,300,300,AVANSAS,1-90/37-10,"ŠARŪNAS SKUČAS"
2209236,05-OCT-16,300,300,AVANSAS,1-90/38-10,"GEDIMINAS STORPIRŠTIS"
2209242,05-OCT-16,159.02,159.02,AVANSAS,1-90/39-10,"LIUTAURAS STOŠKUS"
2209246,05-OCT-16,296.64,296.64,AVANSAS,1-90/40-10,"ŽILVINAS ŠILGALIS"
2209270,05-OCT-16,300,300,AVANSAS,1-90/42-10,"ALDONA ŠVENTICKIENĖ"
2209276,05-OCT-16,300,300,AVANSAS,1-90/43-10,"GEDIMINAS ŠVILPA"
2209278,05-OCT-16,300,300,AVANSAS,1-90/44-10,"EDITA TAMOŠIŪNAITĖ"
2209280,05-OCT-16,300,300,AVANSAS,1-90/45-10,"SKIRMANTAS TUMELIS"
2209283,05-OCT-16,119.57,119.57,AVANSAS,1-90/49-10,"LINAS KVEDARAVIČIUS"
2215829,11-OCT-16,300,,AVANSAS,1-90/41-10,"EDITA ŠIŠKO"
2215856,11-OCT-16,268.96,,AVANSAS,1-90/3-10,"AUŠRINĖ ARMONAITĖ"
2215862,11-OCT-16,240.65,,AVANSAS,1-90/15-10,"JUSTINA KAŠĖTAITĖ"
2215869,11-OCT-16,83.71,,AVANSAS,1-90/29.1-10,"KĘSTUTIS NĖNIUS"
2215897,11-OCT-16,222.33,,AVANSAS,1-90/10-10,"VAIDOTAS ILGIUS"
2215899,12-OCT-16,135.84,,AVANSAS,1-90/24-10,"AUŠRA MALDEIKIENĖ"
2215901,12-OCT-16,248.78,,AVANSAS,1-90/16-10,"ANDRIUS KATINAS"
2215902,13-OCT-16,164.55,,AVANSAS,1-90/32-10,"ROMUALDA POŠEVECKAJA"
