"ID";"SHOWS";"QUESTION_ID";"MEETING_ID";"VOTING_INFO";"VOTING_SHORT";"VOTE_DATE";"VOTE";"SYS_ID"
"103";"Prieš";"28149";"10504907";"P. Tamošauskas";"P. Tamošauskas";"2012-01-24 13:17:53";"Prieš";"3"
"104";"Prieš";"28149";"10504907";"V. Urbonavičius";"V. Urbonavičius";"2012-01-24 13:17:53";"Prieš";"3"
"105";"Prieš";"28149";"10504907";"A. Zaremba";"A. Zaremba";"2012-01-24 13:17:53";"Prieš";"3"
"106";"Prieš";"28149";"10504907";"A. Zuokas";"A. Zuokas";"2012-01-24 13:17:53";"Prieš";"3"
"107";"Susilaikė";"28149";"10504907";"V. Balakin";"V. Balakin";"2012-01-24 13:17:53";"Susilaikė";"2"
"108";"Susilaikė";"28149";"10504907";"Š. Birutis";"Š. Birutis";"2012-01-24 13:17:53";"Susilaikė";"2"
"109";"Susilaikė";"28149";"10504907";"B. Galinienė";"B. Galinienė";"2012-01-24 13:17:53";"Susilaikė";"2"
"110";"Susilaikė";"28149";"10504907";"O. Gorškova";"O. Gorškova";"2012-01-24 13:17:53";"Susilaikė";"2"
"111";"Susilaikė";"28149";"10504907";"V. Milėnas";"V. Milėnas";"2012-01-24 13:17:53";"Susilaikė";"2"
"112";"Susilaikė";"28149";"10504907";"J. Pinskus";"J. Pinskus";"2012-01-24 13:17:53";"Susilaikė";"2"
"113";"Susilaikė";"28149";"10504907";"N. Šliachtič";"N. Šliachtič";"2012-01-24 13:17:53";"Susilaikė";"2"
"114";"Susilaikė";"28149";"10504907";"S. Ursul";"S. Ursul";"2012-01-24 13:17:53";"Susilaikė";"2"
"115";"Už";"28090";"10468682";"E. Stanišauskas";"E. Stanišauskas";"2012-01-25 15:12:25";"Už";"1"
"116";"Už";"28090";"10468682";"G. Sakson";"G. Sakson";"2012-01-25 15:12:25";"Už";"1"
"117";"Už";"28090";"10468682";"I. Kačinskaitė";"I. Kačinskaitė";"2012-01-25 15:12:25";"Už";"1"
"118";"Už";"28090";"10468682";"J. Antanaitis";"J. Antanaitis";"2012-01-25 15:12:25";"Už";"1"
"119";"Už";"28090";"10468682";"K. Nėnius";"K. Nėnius";"2012-01-25 15:12:25";"Už";"1"
"120";"Už";"28090";"10468682";"T. Lavrynovič";"T. Lavrynovič";"2012-01-25 15:12:25";"Už";"1"
"121";"Už";"28090";"10468682";"V. Kliukienė";"V. Kliukienė";"2012-01-25 15:12:25";"Už";"1"
"122";"Už";"28090";"10468682";"V. Kravčionok";"V. Kravčionok";"2012-01-25 15:12:25";"Už";"1"
"123";"Už";"28090";"10468682";"A. Liudkovski";"A. Liudkovski";"2012-01-25 15:12:25";"Už";"1"
"124";"Už";"28090";"10468682";"A. Vakarinas";"A. Vakarinas";"2012-01-25 15:12:25";"Už";"1"
"125";"Už";"28090";"10468682";"A. Zaremba";"A. Zaremba";"2012-01-25 15:12:25";"Už";"1"
"126";"Už";"28090";"10468682";"D. Urbanavičienė";"D. Urbanavičienė";"2012-01-25 15:12:25";"Už";"1"
"127";"Už";"28090";"10468682";"E. Trusevič";"E. Trusevič";"2012-01-25 15:12:25";"Už";"1"
"128";"Už";"28090";"10468682";"I. Litvinovič";"I. Litvinovič";"2012-01-25 15:12:25";"Už";"1"
"129";"Už";"28090";"10468682";"J. Juodka";"J. Juodka";"2012-01-25 15:12:25";"Už";"1"
"130";"Už";"28090";"10468682";"J. Kaminski";"J. Kaminski";"2012-01-25 15:12:25";"Už";"1"
"131";"Už";"28090";"10468682";"J. Kvetkovskij";"J. Kvetkovskij";"2012-01-25 15:12:25";"Už";"1"
"132";"Už";"28090";"10468682";"M. Monkevičius";"M. Monkevičius";"2012-01-25 15:12:25";"Už";"1"
"133";"Už";"28090";"10468682";"P. Nausėda";"P. Nausėda";"2012-01-25 15:12:25";"Už";"1"
"134";"Už";"28090";"10468682";"Š. Birutis";"Š. Birutis";"2012-01-25 15:12:25";"Už";"1"
"135";"Už";"28090";"10468682";"V. Milėnas";"V. Milėnas";"2012-01-25 15:12:25";"Už";"1"
"136";"Už";"28090";"10468682";"Ž. Savickas";"Ž. Savickas";"2012-01-25 15:12:25";"Už";"1"
"137";"Už";"28090";"10468682";"Pirmininkas ";"Pirmininkas ";"2012-01-25 15:12:25";"Už";"1"
"138";"Už";"28090";"10468682";"D. Maskoliūnas";"D. Maskoliūnas";"2012-01-25 15:12:25";"Už";"1"
"139";"Už";"28090";"10468682";"I. Jakaitytė";"I. Jakaitytė";"2012-01-25 15:12:25";"Už";"1"
"140";"Už";"28090";"10468682";"J. Grigutienė";"J. Grigutienė";"2012-01-25 15:12:25";"Už";"1"
"141";"Už";"28090";"10468682";"J. Pinskus";"J. Pinskus";"2012-01-25 15:12:25";"Už";"1"
"142";"Už";"28090";"10468682";"N. Šliachtič";"N. Šliachtič";"2012-01-25 15:12:25";"Už";"1"
"143";"Už";"28090";"10468682";"O. Gorškova";"O. Gorškova";"2012-01-25 15:12:25";"Už";"1"
"144";"Už";"28090";"10468682";"R. Vanagaitė";"R. Vanagaitė";"2012-01-25 15:12:25";"Už";"1"
"145";"Už";"28090";"10468682";"S. Burbienė";"S. Burbienė";"2012-01-25 15:12:25";"Už";"1"
"146";"Už";"28090";"10468682";"S. Ursul";"S. Ursul";"2012-01-25 15:12:25";"Už";"1"
"147";"Už";"28090";"10468682";"V. Balakin";"V. Balakin";"2012-01-25 15:12:25";"Už";"1"
"148";"Prieš";"28090";"10468682";"V. Benkunskas";"V. Benkunskas";"2012-01-25 15:12:25";"Prieš";"3"
"149";"Prieš";"28090";"10468682";"V. Podolskaitė";"V. Podolskaitė";"2012-01-25 15:12:25";"Prieš";"3"
