ID,SHOWS,AVILIO_ID,NR,MEETING_ID,GROUP_ID,DOC_ID,CREATOR_ID,EXPIRE_DATE,APROVED,NOW_ACTIVE,LATER_ACTIVE,NEXT_ACTIVE,NOW_VOTING,QUESTION_HASH,STATUS_DESC
38019,"(NAUJININKAI) Dėl UAB „Europart“  2017-11-13 prašymo Nr. E50-20480/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „EUROPART“ SUNKVEŽIMIŲ , PRIEKABŲ IR AUTOBUSŲ ATSARGINĖS DALYS ant pastato Meistrų g. 11.",f7f6f340cde911e788a399abd293e3ee,26,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38020,"(NAUJININKAI) Dėl UAB „Rotala“  2017-11-16 prašymo Nr. A97-23981/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „AQUA SHARKS“ IŠSKIRTINIŲ AKVARIUMŲ ĮRENGIMAS ant pastato Zanavykų g. 6.",1828fc30cdea11e788a399abd293e3ee,27,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38021,"(NAUJININKAI) Dėl UAB „Mesta“ 2017-11-13 prašymo Nr.A609-1244/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą SKARDOS LANKSTINIAI, LIETAUS SISTEMOS MONTAVIMAS ant pastato Dariaus ir Girėno g. 25.",3069c950cdea11e788a399abd293e3ee,28,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38022,"(VILKPĖDĖ) Dėl UAB „SLO Lithuania“ 2017-11-13 prašymo Nr. A609-1245/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą SLO ant pastato Vilkpėdės g. 4.",49a57130cdea11e788a399abd293e3ee,29,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38023,"(FABIJONIŠKĖS) Dėl UAB „Gym LT“ 2017-11-10 prašymo Nr. A97-23369/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą LEMON GYM ant pastato Ateities g. 31B.",646dfaa0cdea11e788a399abd293e3ee,30,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38024,"(FABIJONIŠKĖS) Dėl MB „Automobilių estetikos laboratorija“ 2017-11-13 prašymo Nr. A609-1243/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „AUTOLAB“ AUTOMOBILIŲ ESTETIKOS SPRENDIMAI ant pastato Ukmergės g. 315C.",b82d0910cdea11e788a399abd293e3ee,31,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38025,"(FABIJONIŠKĖS) Dėl UAB „Bitės salonų tinklas“ 2017-11-14 prašymo Nr.E609-532/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą BITĖ ant pastato Ukmergės g. 369.",d71972a0cdea11e788a399abd293e3ee,32,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38026,"(PAŠILAIČIAI) Dėl UAB „Eminta“ 2017-11-15 prašymo Nr. E609-535/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „APRANGA GROUP“ prie Ukmergės g. 362.",f3dd2fd0cdea11e788a399abd293e3ee,33,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38027,"(PAŠILAIČIAI) Dėl UAB „Narbutas Furniture company“ 2017-11-15 prašymo Nr. E609-536/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą NARBUTAS ant pastato Bieliūnų g. 1.",0b68b6b0cdeb11e788a399abd293e3ee,34,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38028,"(PAŠILAIČIAI) Dėl UAB „Legale Group“ 2017-11-16 prašymo Nr. A97-23875/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „BROLIŲ PIZZA“ ant aptvėrimo prie Ukmergės g. 296.",27b6a7a0cdeb11e788a399abd293e3ee,35,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38029,"(KAROLINIŠKĖS) Dėl UAB „Capital property“ 2017-11-13 prašymo Nr.E609-531/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą PARDUODAMAS SKLYPAS WWW.GINAITIS.LT ant reklaminio statinio prie Pilaitės pr. ir Mėnulio g. sankirtos.",405f3740cdeb11e788a399abd293e3ee,36,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38030,"(PILAITĖ) Dėl UAB „Omberg“ 2017-10-20 prašymo Nr. E609-491/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „GILUŽIO SLĖNIS“ KOTEDŽŲ IR DAUGIABUČIŲ GYVENVIETĖ ant reklaminio įrenginio prie Smalinės k.",5b597f10cdeb11e788a399abd293e3ee,37,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38031,"(PILAITĖ) Dėl UAB „Citus“ 2017-09-12 prašymo Nr. A609-962/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą „KARALIAUČIAUS SLĖNIS“ BUTAI IR KOTEDŽAI PILAITĖJE PRIPAŽINTI GERIAUSIAIS! ant reklaminio įrenginio prie Pilaitės pr. 59.",71366b90cdeb11e788a399abd293e3ee,38,48140491,2,0,4916,"2017-11-20 13:30:35",,,0,0,,,
38032,"Dėl Balsų skaičiavimo komisijos tvirtinimo",89cd3a10cf6e11e788a899abd293e3ee,1,48100320,2,0,50,"2017-11-15 16:15:35",2,,0,0,,f8736323e6c823b50180823f7b963c52,
38033,"Dėl  posėdžio darbotvarkės projekto tvirtinimo",8a27dd30cf6e11e788a899abd293e3ee,2,48100320,2,0,50,"2017-11-15 16:15:35",2,,0,0,,4176a418228155bdfdd1fd544ea2ecc1,
38034,"(SENAMIESTIS) Dėl UAB „Copy Pro“ 2017-11-23 prašymo Nr. A609-1276/17 išduoti leidimą įrengti išorinę reklamą pagal pateiktą projektą KOPIJAVIMO CENTRAS ant pastato Pylimo g. 22D.",60a170c0d36511e7b35eb2c9970d2e7d,1,48214280,2,0,4916,"2017-11-27 13:15:18",,,0,0,,,
